row_id,source,date,test_name,dtype_in,dtype_out,size,num_vcores,num_dies,partition,run_type,category,vcore_mhz,start_cycle,end_cycle,total_cycles,kernel_prolog_marker,warmup_cycles,meas_vs_warmup_ratio,file_path,parsed_at
cd83d230c270fa14,pldm,2026-06-08,vme_4tile_fp8_bf16,fp8,bf16,1,,1,,unknown,vme,1200,734,3275,2541,784,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_fp8_bf16_1.vcd,2026-06-08T05:40:24+00:00
b062caeda615666d,pldm,2026-06-08,vme_4tile_fp8_fp8_e4m3,fp8,fp8,1,,1,,unknown,vme,1200,520,3080,2560,555,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_fp8_fp8_e4m3_1.vcd,2026-06-08T05:40:24+00:00
8e910f84d3693100,pldm,2026-06-08,vme_4tile_large_bf16,,bf16,1,,1,,unknown,vme,1200,897,3407,2510,932,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_large_bf16_1.vcd,2026-06-08T05:40:24+00:00
ebc542a48d558b02,pldm,2026-06-08,vme_4tile_xpose_bf16,,bf16,1,,1,,unknown,vme,1200,948,3305,2357,983,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_4tile_xpose_bf16_1.vcd,2026-06-08T05:40:24+00:00
173a00404b195081,pldm,2026-06-08,vme_7tile_bf16,,bf16,1,,1,,unknown,vme,1200,860,4922,4061,896,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_7tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
c8cc090f4c198230,pldm,2026-06-08,vme_7tile_polled_bf16,,bf16,1,,1,,unknown,vme,1200,615,4627,4012,650,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_7tile_polled_bf16_1.vcd,2026-06-08T05:40:24+00:00
b51c02243de67ee6,pldm,2026-06-08,vme_8tile_bf16,,bf16,1,,1,,unknown,vme,1200,675,5189,4514,710,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_8tile_bf16_1.vcd,2026-06-08T05:40:24+00:00
5ec64f45fb0287b3,pldm,2026-06-08,vme_8tile_chained_bf16,,bf16,1,,1,,unknown,vme,1200,699,2004,1305,752,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_8tile_chained_bf16_1.vcd,2026-06-08T05:40:24+00:00
652bef6cc0c46e4d,pldm,2026-06-08,vme_8tile_polled_bf16,,bf16,1,,1,,unknown,vme,1200,766,5274,4508,816,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_8tile_polled_bf16_1.vcd,2026-06-08T05:40:24+00:00
9efda170e03223dc,pldm,2026-06-08,vme_back2back_bf16,,bf16,1,,1,,unknown,vme,1200,900,2439,1539,934,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_back2back_bf16_1.vcd,2026-06-08T05:40:24+00:00
